,username,title,numGames,winRate,numWhite,whiteRate,numBlack,blackRate
0,maestrog,gm,23,0.5652173913043478,0,,23,0.5652173913043478
1,srinavasan,gm,209,0.430622009569378,0,,209,0.430622009569378
2,remontada2017,gm,8,0.375,0,,8,0.375
3,lilleper1,gm,19,0.6842105263157895,9,0.6666666666666666,10,0.7
4,tamirnabaty,gm,12,0.3333333333333333,0,,12,0.3333333333333333
5,ladheezwousharounm,gm,41,0.4146341463414634,0,,41,0.4146341463414634
6,hunga,gm,37,0.5405405405405406,0,,37,0.5405405405405406
7,tigrvshlyape,gm,264,0.42045454545454547,0,,264,0.42045454545454547
8,gm_donatello,gm,188,0.4095744680851064,0,,188,0.4095744680851064
9,dogsofwar,gm,236,0.7245762711864406,120,0.7416666666666667,116,0.7068965517241379
10,msolleveld,gm,118,0.6694915254237288,55,0.7090909090909091,63,0.6349206349206349
11,devonlaratt,gm,101,0.6435643564356436,51,0.6666666666666666,50,0.62
12,zhuu96,gm,40,0.45,0,,40,0.45
13,dedic8,gm,29,0.5517241379310345,0,,29,0.5517241379310345
14,maybe00,gm,289,0.4083044982698962,0,,289,0.4083044982698962
15,dudedoel,gm,9,0.2222222222222222,0,,9,0.2222222222222222
16,gmstefanova,gm,21,0.3333333333333333,0,,21,0.3333333333333333
17,masmos97,gm,17,0.5294117647058824,0,,17,0.5294117647058824
18,attilaczebe,gm,7,0.2857142857142857,4,0.25,3,0.3333333333333333
19,shield12,gm,7,0.5714285714285714,0,,7,0.5714285714285714
20,antonsmirnov,gm,10,0.4,0,,10,0.4
21,gmjoel,gm,4,0.0,3,0.0,1,0.0
22,jsprepz,gm,3,0.6666666666666666,0,,3,0.6666666666666666
23,muradore,gm,54,0.3888888888888889,0,,54,0.3888888888888889
24,viziruk,gm,346,0.7138728323699421,169,0.7396449704142012,177,0.6892655367231638
25,keyser_stark,gm,6,1.0,3,1.0,3,1.0
26,quaternitychess,gm,29,0.5517241379310345,0,,29,0.5517241379310345
27,thecount,gm,36,0.5,0,,36,0.5
28,olga_girya,gm,1,0.0,0,,1,0.0
29,radzio1987,gm,18,0.2777777777777778,0,,18,0.2777777777777778
30,norival,gm,102,0.39215686274509803,0,,102,0.39215686274509803
31,arambai,gm,383,0.4255874673629243,0,,383,0.4255874673629243
32,burbur555,gm,796,0.435929648241206,396,0.4494949494949495,400,0.4225
33,humpy1987,gm,14,0.5,7,0.42857142857142855,7,0.5714285714285714
34,fondip,gm,12,0.5,0,,12,0.5
35,prettyprincess2002,gm,118,0.4576271186440678,0,,118,0.4576271186440678
36,littlepeasant,gm,36,0.5,0,,36,0.5
37,gonzalez-mia,gm,137,0.43795620437956206,0,,137,0.43795620437956206
